Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L22.MAA000399.3_9_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_9_M,M,MAA000399,False,,,,,,,,,,RV,Heart,21.039202840596488,-23.293229235655584
,,L22.MAA000586.3_8_M.1.1,fibroblast,CL:0000057,0,fibroblast,3_8_M,M,MAA000586,False,,,,,,,,,,RA,Heart,9.354556674557614,13.695322578582205
,,L22.MAA000587.3_8_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_8_M,M,MAA000587,False,,,,,,,,,,LV,Heart,16.700760562305632,-33.091135550699946
,,L22.MAA000899.3_10_M.1.1,fibroblast,CL:0000057,0,fibroblast,3_10_M,M,MAA000899,False,,,,,,,,,,RA,Heart,10.330453745922464,2.2328549879248283
,,L22.MAA000903.3_11_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_11_M,M,MAA000903,False,,,,,,,,,,RA,Heart,9.745062660742985,-27.765591588987853
,,L22.MAA000917.3_11_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_11_M,M,MAA000917,False,,,,,,,,,,LV,Heart,20.234371591795174,-33.323433984479124
,,L22.MAA000920.3_11_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_11_M,M,MAA000920,False,,,,,,,,,,LA,Heart,6.9194546817294444,23.387573611538482
,,L22.MAA000936.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000936,False,,,,,,,,,,RA,Heart,23.823443334322988,13.212822270833936
,,L3.B000633.3_56_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,9.448573992322796,1.9624218959352373
,,L3.B002010.3_39_F.1.1,endocardial cell,CL:0002350,8,endocardial cell,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,36.912525130871956,-2.9452748651412612
,,L3.B002421.3_39_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_39_F,F,B002421,False,,,,,,,,,,LV,Heart,-29.0884454402685,-11.216855643495188
,,L3.B002423.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,0.3287356199220086,9.219830071321224
,,L3.B002427.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,2.040712507620501,16.78333218712699
,,L3.B002428.3_38_F.1.1,endocardial cell,CL:0002350,8,endocardial cell,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,41.02143812377861,-9.418199310586527
,,L3.MAA000399.3_9_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_9_M,M,MAA000399,False,,,,,,,,,,RV,Heart,-25.73975099918633,14.191949580001474
,,L3.MAA000400.3_8_M.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_8_M,M,MAA000400,True,1.0,,,,,,,,,LA,Heart,-8.499049058242878,-38.340907427981975
,,L3.MAA000452.3_8_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_8_M,M,MAA000452,False,,,,,,,,,,RV,Heart,-21.7563738495472,12.480904357282924
,,L3.MAA000589.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000589,False,,,,,,,,,,LV,Heart,32.05766254869271,17.023787801925845
,,L3.MAA000920.3_11_M.1.1,endocardial cell,CL:0002350,8,endocardial cell,3_11_M,M,MAA000920,False,,,,,,,,,,LA,Heart,44.148247252802065,-11.650671671978635
,,L4.B000633.3_56_F.1.1,fibroblast,CL:0000057,1,fibroblast,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,17.760785116872288,18.5258201972078
,,L4.B002010.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,8.444191598481192,6.768017491762575
,,L4.B002011.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002011,False,,,,,,,,,,RA,Heart,-3.987390829277345,-15.400046545402686
,,L4.B002427.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,3.2263901023206287,12.568368720655075
,,L4.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-3.8046219065807887,-4.652687108540653
,,L4.MAA000398.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000398,False,,,,,,,,,,LA,Heart,31.605775281052324,19.689985327098555
,,L4.MAA000452.3_8_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_8_M,M,MAA000452,False,,,,,,,,,,RV,Heart,-19.507183170542053,23.72875734494353
,,L4.MAA000587.3_8_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_8_M,M,MAA000587,False,,,,,,,,,,LV,Heart,19.931899566408298,-25.65995501692684
,,L4.MAA000589.3_9_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_9_M,M,MAA000589,False,,,,,,,,,,LV,Heart,21.581745582294726,-30.83535888623256
,,L4.MAA000898.3_11_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_11_M,M,MAA000898,False,,,,,,,,,,RV,Heart,13.039085738762006,28.484557446695113
